Stream_Name,EPA assigned site number,State,method,Sample_Date.1,ExpAv,ExpMin,Expmax,total Ind,total taxa,PCAtt2,Att2 taxa,PCAtt3,Att3 taxa,PCAtt4,Att4 taxa,PCAtt5,Att5 taxa,PCAtt6,Att6 taxa,PCephem,ephem taxa,PC pleco,pleco taxa,PC Tricho,tricho taxa,PCHydro,PCtubi,PCnonins,EPT taxa,EPT_Pct taxa,EPT_Pc_Ind,Sens taxa,Sens_PC_taxa,sensPc_indiv,Tol_Pc_Ind,AvtolPerTaxon
Branch River,NH HEX 36.01,NH,20 random toss 4m2 area,7/17/2003,3,3,3,289,58,0.062283737,6,0.117647059,10,0.712802768,35,0.076124567,6,0,0,18.68512111,7,2.422145329,2,8.650519031,8,0.020761246,0.027681661,0.110726644,17,0.293103448,29.75778547,16,0.275862069,0.179930796,0.076124567,3.655172414
Browns River,VT HEX 10.02,VT,20 random toss 4m2 area,7/16/2002,5,5,5,202,36,0.014851485,2,0.207920792,9,0.727722772,18,0.04950495,7,0,0,20.2970297,6,2.97029703,1,3.465346535,5,0.00990099,0,0.173267327,12,0.333333333,26.73267327,11,0.305555556,0.222772277,0.04950495,3.833333333
Bumpus Brook,NH HEX 11.01,NH,20 random toss 4m2 area,7/22/2002,2.466666667,2,3.2,207,41,0.222222222,7,0.338164251,14,0.362318841,18,0,0,0,0,33.33333333,5,14.97584541,5,7.729468599,6,0.009661836,0,0.019323671,16,0.390243902,56.03864734,21,0.512195122,0.560386473,0,3.12195122
Burgess Branch,VT HEX 6.01,VT,20 random toss 4m2 area,8/7/2002,5,5,5,230,34,0.013043478,3,0.334782609,7,0.37826087,18,0.226086957,5,0,0,3.913043478,1,2.173913043,4,6.086956522,3,0.052173913,0,0.02173913,8,0.235294118,12.17391304,10,0.294117647,0.347826087,0.226086957,3.647058824
Carrying Place Stream,EPA HEX 12.02 ME,ME,20 random toss 4m2 area,7/26/2001,3.357142857,2,4.5,236,39,0.06779661,5,0.5,16,0.398305085,16,0,0,0,0,16.52542373,6,3.389830508,3,6.779661017,8,0.008474576,0,0.021186441,17,0.435897436,26.69491525,21,0.538461538,0.56779661,0,3.128205128
Carrying Place Stream,EPA HEX 12.02 ME,ME,20 random toss 4m2 area,7/27/2002,3,3,3,198,32,0.03030303,5,0.267676768,11,0.636363636,14,0,0,0,0,17.67676768,7,0.505050505,1,4.04040404,5,0.01010101,0,0.015151515,13,0.40625,22.22222222,16,0.5,0.297979798,0,3.09375
Cedar Stream,EPA HEX 11.06 NH,NH,20 random toss 4m2 area,7/28/2002,3.042857143,2.5,3.5,226,46,0.075221239,7,0.212389381,12,0.668141593,22,0.022123894,3,0,0,24.33628319,6,4.424778761,3,20.79646018,9,0.026548673,0,0.084070796,18,0.391304348,49.55752212,19,0.413043478,0.287610619,0.022123894,3.326086957
Chemquasabamticook Brook,EPA HEX 3.04 ME,ME,20 random toss 4m2 area,7/24/2002,3.1,2,3.8,225,40,0.208888889,9,0.306666667,10,0.373333333,15,0.075555556,3,0,0,32,6,2.666666667,2,27.55555556,12,0.084444444,0.004444444,0.031111111,20,0.5,62.22222222,19,0.475,0.515555556,0.075555556,3.075
Churchill Brook,NH HEX 35.01,NH,20 random toss 4m2 area,7/11/2002,4.35,4.2,4.5,196,49,0.045918367,6,0.081632653,7,0.780612245,28,0.056122449,4,0,0,12.24489796,7,1.020408163,1,4.591836735,6,0.010204082,0,0.025510204,14,0.285714286,17.85714286,13,0.265306122,0.12755102,0.056122449,3.367346939
Clark Brook,NH HEX 17.03,NH,20 random toss 4m2 area,7/26/2002,3.4,2,4.2,205,35,0.063414634,3,0.453658537,13,0.356097561,15,0.097560976,3,0,0,2.926829268,2,3.902439024,3,18.04878049,7,0.097560976,0,0.058536585,12,0.342857143,24.87804878,16,0.457142857,0.517073171,0.097560976,3.428571429
Cocheco River,EPA HEX 30.04 NH,NH,20 random toss 4m2 area,8/10/2001,3.666666667,2.8,4.5,229,51,0.026200873,3,0.310043668,10,0.541484716,27,0.069868996,8,0,0,20.96069869,7,1.746724891,2,9.6069869,10,0.026200873,0,0.061135371,19,0.37254902,32.31441048,13,0.254901961,0.336244541,0.069868996,3.607843137
Cold River,NH HEX 37.02,NH,20 random toss 4m2 area,7/17/2002,4,4,4,211,44,0.023696682,3,0.208530806,10,0.530805687,23,0.127962085,7,0,0,5.213270142,5,1.895734597,1,15.63981043,5,0.113744076,0,0.132701422,11,0.25,22.74881517,13,0.295454545,0.232227488,0.127962085,3.704545455
Cold River,NH HEX 43.03,NH,20 random toss 4m2 area,7/17/2002,2,2,2,210,43,0.295238095,8,0.180952381,11,0.438095238,20,0.061904762,4,0,0,24.76190476,7,3.333333333,3,27.14285714,9,0.057142857,0,0.123809524,19,0.441860465,55.23809524,19,0.441860465,0.476190476,0.061904762,3.465116279
Comstock Brook,EPA HEX 39.10 CT (A),CT,20 random toss 4m2 area,8/14/2002,4,3,5.2,192,47,0.03125,1,0.255208333,16,0.557291667,23,0.145833333,6,0,0,1.5625,1,5.729166667,3,21.35416667,8,0.114583333,0,0.15625,12,0.255319149,28.64583333,17,0.361702128,0.286458333,0.145833333,3.659574468
Connecticut River,NH HEX 1.03,NH,20 random toss 4m2 area,7/29/2002,2.485714286,2,3.2,240,41,0.1375,8,0.508333333,13,0.270833333,18,0.029166667,1,0,0,25.83333333,10,10.41666667,3,7.083333333,9,0.029166667,0,0.045833333,22,0.536585366,43.33333333,21,0.512195122,0.645833333,0.029166667,3.219512195
Connecticut River,NH HEX 3.05 (A),NH,20 random toss 4m2 area,7/29/2002,3,3,3,216,46,0.037037037,5,0.148148148,12,0.574074074,21,0.166666667,4,0,0,13.88888889,6,2.314814815,3,22.68518519,9,0.194444444,0,0.217592593,18,0.391304348,38.88888889,17,0.369565217,0.185185185,0.166666667,3.260869565
Contoocook River,NH HEX 52.01,NH,20 random toss 4m2 area,9/10/2003,3.5,3,4,228,46,0.004385965,1,0.23245614,15,0.605263158,23,0.140350877,5,0,0,13.15789474,5,0.438596491,1,21.49122807,10,0.162280702,0.00877193,0.078947368,16,0.347826087,35.0877193,16,0.347826087,0.236842105,0.140350877,3.565217391
Crooked Stream,ME HEX 41.05,ME,20 random toss 4m2 area,7/15/2003,4,4,4,226,52,0.026548673,4,0.150442478,10,0.632743363,26,0.146017699,11,0,0,15.48672566,5,2.654867257,1,13.71681416,10,0.097345133,0,0.048672566,16,0.307692308,31.85840708,14,0.269230769,0.17699115,0.146017699,3.788461538
Cupsuptic River,ME HEX 30.01,ME,20 random toss 4m2 area,7/16/2003,3.125,2,3.8,214,41,0.056074766,7,0.462616822,12,0.457943925,19,0.014018692,2,0,0,22.42990654,9,0.934579439,2,5.607476636,7,0.004672897,0,0.079439252,18,0.43902439,28.97196262,19,0.463414634,0.518691589,0.014018692,3.317073171
Dan Hole River,NH HEX 29.03,NH,20 random toss 4m2 area,7/12/2002,3,3,3,223,43,0.049327354,5,0.295964126,11,0.542600897,22,0.076233184,4,0,0,11.65919283,5,2.242152466,3,17.48878924,10,0.085201794,0,0.062780269,18,0.418604651,31.39013453,16,0.372093023,0.34529148,0.076233184,3.511627907
Depot Stream,EPA HEX 3.05 ME (A),ME,20 random toss 4m2 area,7/25/2001,3.233333333,2.8,3.5,234,50,0.111111111,8,0.269230769,13,0.487179487,22,0.098290598,5,0,0,11.11111111,9,0.427350427,1,20.08547009,13,0.076923077,0,0.235042735,23,0.46,31.62393162,21,0.42,0.38034188,0.098290598,3.36
Dinsmore Stream,EPA HEX 33.03 NH,NH,20 random toss 4m2 area,8/7/2001,4.233333333,3.8,4.5,207,44,0.028985507,4,0.183574879,9,0.637681159,26,0.115942029,3,0,0,12.07729469,4,0,0,20.28985507,11,0.111111111,0,0.053140097,15,0.340909091,32.36714976,13,0.295454545,0.212560386,0.115942029,3.5
Dodge Brook,NH HEX 44.02,NH,20 random toss 4m2 area,8/4/2003,4.3,4.3,4.3,305,46,0.006557377,1,0.013114754,4,0.813114754,30,0.144262295,8,0,0,1.967213115,1,0,0,8.852459016,6,0,0.003278689,0.344262295,7,0.152173913,10.81967213,5,0.108695652,0.019672131,0.144262295,3.782608696
Dole Brook,ME HEX 19.01,ME,20 random toss 4m2 area,7/27/2002,2,2,2,272,53,0.180147059,11,0.444852941,16,0.301470588,21,0.047794118,5,0,0,20.58823529,10,9.191176471,6,10.66176471,10,0.044117647,0,0.011029412,26,0.490566038,40.44117647,27,0.509433962,0.625,0.047794118,3.377358491
East Branch North River,VT HEX 2.01,VT,20 random toss 4m2 area,7/14/2003,3.1,2,3.8,217,44,0.119815668,7,0.331797235,15,0.483870968,19,0.032258065,2,0,0,13.3640553,8,2.304147465,3,19.35483871,9,0.055299539,0,0.023041475,20,0.454545455,35.02304147,22,0.5,0.451612903,0.032258065,3.295454545
East Branch Saco River,NH HEX 16.02,NH,20 random toss 4m2 area,7/29/2003,2.75,2,3.5,221,46,0.076923077,9,0.49321267,13,0.330316742,19,0.07239819,4,0,0,11.76470588,9,2.714932127,3,15.83710407,9,0.081447964,0,0.009049774,21,0.456521739,30.31674208,22,0.47826087,0.570135747,0.07239819,3.326086957
Eastman Brook,NH HEX 18.01,NH,20 random toss 4m2 area,6/24/2003,2.75,2.5,3,241,31,0.336099585,10,0.356846473,10,0.298755187,9,0.004149378,1,0,0,53.1120332,10,2.489626556,4,16.59751037,5,0.004149378,0,0.004149378,19,0.612903226,72.19917012,20,0.64516129,0.692946058,0.004149378,2.935483871
Eight Mile River,EPA HEX 41.05 CT,CT,20 random toss 4m2 area,8/13/2002,3.728571429,3,5.2,184,50,0.059782609,5,0.222826087,12,0.608695652,26,0.086956522,6,0,0,5.97826087,7,1.630434783,2,11.95652174,8,0.016304348,0.005434783,0.027173913,17,0.34,19.56521739,17,0.34,0.282608696,0.086956522,3.6
Ellis River,ME HEX 46.02,ME,20 random toss 4m2 area,7/16/2003,5,5,5,221,36,0.027149321,3,0.230769231,7,0.633484163,19,0.081447964,3,0,0,6.787330317,3,1.357466063,1,3.167420814,6,0.004524887,0,0.022624434,10,0.277777778,11.31221719,10,0.277777778,0.257918552,0.081447964,3.277777778
Gihon River,VT HEX 14.02 (RD),VT,20 random toss 4m2 area,7/3/2002,2.9,2,3.5,220,45,0.145454545,6,0.4,18,0.336363636,15,0.095454545,5,0,0,35,8,9.090909091,3,19.09090909,10,0.077272727,0,0.013636364,21,0.466666667,63.18181818,24,0.533333333,0.545454545,0.095454545,3.355555556
Goshen Brook Trib #2,VT HEX 8.02 (2006),VT,20 random toss 4m2 area,7/9/2003,2.533333333,2,2.8,239,44,0.158995816,8,0.506276151,14,0.305439331,19,0.008368201,2,0,0,11.71548117,5,8.368200837,4,13.38912134,8,0,0,0.008368201,17,0.386363636,33.47280335,22,0.5,0.665271967,0.008368201,3.272727273
Grant Brook,NH HEX 21.05,NH,20 random toss 4m2 area,7/25/2002,3.666666667,3,4.2,201,42,0.049751244,5,0.487562189,8,0.383084577,21,0.064676617,6,0,0,16.41791045,6,0.995024876,2,8.955223881,8,0.029850746,0.004975124,0.019900498,16,0.380952381,26.3681592,13,0.30952381,0.537313433,0.064676617,3.523809524
Great Swamp Brook,EPA HEX 42.01 MA,MA,20 random toss 4m2 area,11/7/2001,3,1.8,3.8,210,46,0.161904762,6,0.376190476,13,0.39047619,21,0.052380952,5,0,0,24.28571429,4,4.761904762,4,19.04761905,12,0.042857143,0,0.047619048,20,0.434782609,48.0952381,19,0.413043478,0.538095238,0.052380952,3.47826087
Green River,VT HEX 3.01,VT,20 random toss 4m2 area,7/14/2003,2,2,2,205,49,0.141463415,10,0.331707317,12,0.419512195,22,0.092682927,4,0,0,20.97560976,10,0.975609756,2,13.65853659,7,0.063414634,0,0.029268293,19,0.387755102,35.6097561,22,0.448979592,0.473170732,0.092682927,3.346938776
Greenleaf Brook,EPA HEX 8.06 ME,ME,20 random toss 4m2 area,7/21/2001,3.766666667,2.8,4.5,222,37,0.040540541,5,0.342342342,10,0.5,17,0.094594595,5,0,0,11.71171171,5,3.153153153,3,9.459459459,5,0.067567568,0.009009009,0.337837838,13,0.351351351,24.32432432,15,0.405405405,0.382882883,0.094594595,3.594594595
Halfmoon Stream,ME HEX 48.05,ME,20 random toss 4m2 area,7/15/2003,3.825,3.5,4,257,43,0.015564202,4,0.089494163,9,0.704280156,23,0.175097276,6,0,0,7.003891051,5,1.167315175,2,16.34241245,5,0.13618677,0,0.105058366,12,0.279069767,24.51361868,13,0.302325581,0.105058366,0.175097276,3.651162791
Halfway Brook,EPA HEX 2.03 ME,ME,20 random toss 4m2 area,7/17/2001,3.042857143,2.5,4.5,147,35,0.183673469,7,0.149659864,6,0.517006803,19,0.088435374,2,0,0,29.25170068,7,10.20408163,3,5.442176871,4,0.027210884,0.06122449,0.108843537,14,0.4,44.89795918,13,0.371428571,0.333333333,0.088435374,3.371428571
Halfway Brook,EPA HEX 2.03 ME,ME,20 random toss 4m2 area,7/23/2002,2,2,2,341,46,0.064516129,8,0.583577713,10,0.299120235,21,0.041055718,5,0,0,15.83577713,9,5.571847507,2,3.519061584,6,0.011730205,0.014662757,0.058651026,17,0.369565217,24.92668622,18,0.391304348,0.648093842,0.041055718,3.369565217
Hancock Brook,VT HEX 1.01 (RD),VT,20 random toss 4m2 area,7/29/2003,4.1,3.8,4.5,198,34,0.055555556,6,0.247474747,6,0.626262626,17,0.060606061,4,0,0,3.03030303,4,4.04040404,4,4.04040404,4,0.015151515,0,0.025252525,12,0.352941176,11.11111111,12,0.352941176,0.303030303,0.060606061,3.470588235
Hardy Stream,EPA HEX 19.01 ME,ME,20 random toss 4m2 area,9/21/2001,2.571428571,1.5,3.2,213,37,0.276995305,10,0.338028169,8,0.262910798,14,0.037558685,3,0,0,31.92488263,7,7.511737089,3,26.29107981,10,0.037558685,0,0.093896714,20,0.540540541,65.72769953,18,0.486486486,0.615023474,0.037558685,3.108108108
Hawkins Brook,RSD53,RI,20 random toss 4m2 area,9/19/2000,5,5,5,205,33,0.014634146,1,0.024390244,5,0.604878049,21,0.273170732,6,0,0,1.951219512,2,0,0,46.82926829,9,0.302439024,0.004878049,0.107317073,11,0.333333333,48.7804878,6,0.181818182,0.03902439,0.273170732,3.96969697
Henderson Brook,ME HEX 26.03,ME,20 random toss 4m2 area,7/30/2003,2,2,2,227,52,0.193832599,9,0.378854626,16,0.392070485,23,0.030837004,3,0,0,10.57268722,8,13.65638767,6,15.4185022,8,0.017621145,0,0.026431718,22,0.423076923,39.64757709,25,0.480769231,0.572687225,0.030837004,3.326923077
Hewes Brook,NH HEX 26.05,NH,20 random toss 4m2 area,6/29/2003,2.466666667,2,3.2,244,47,0.233606557,8,0.368852459,18,0.295081967,15,0.06147541,5,0,0,18.44262295,6,6.967213115,5,40.16393443,9,0.016393443,0,0.053278689,20,0.425531915,65.57377049,26,0.553191489,0.602459016,0.06147541,3.29787234
Higgins Brook,EPA HEX 20.02 ME,ME,20 random toss 4m2 area,7/23/2001,4.114285714,3.8,4.8,222,39,0.031531532,4,0.094594595,8,0.815315315,25,0.009009009,2,0,0,26.12612613,6,0,0,6.756756757,8,0.004504505,0,0.022522523,14,0.358974359,32.88288288,12,0.307692308,0.126126126,0.009009009,3.641025641
Horseshoe Stream,EPA HEX 11.05 ME,ME,20 random toss 4m2 area,7/25/2001,4.3,3.8,5.2,213,34,0.014084507,3,0.154929577,10,0.549295775,15,0.267605634,5,0,0,4.694835681,4,0.938967136,2,34.27230047,8,0.23943662,0,0.295774648,14,0.411764706,39.90610329,13,0.382352941,0.169014085,0.267605634,3.558823529
Hubbard Brook,VT HEX 14.02,VT,20 random toss 4m2 area,7/8/2003,2.666666667,2,3.2,242,43,0.198347107,9,0.425619835,13,0.318181818,17,0.033057851,3,0,0,16.94214876,4,5.785123967,6,11.57024793,7,0.012396694,0,0.066115702,17,0.395348837,34.29752066,22,0.511627907,0.623966942,0.033057851,3.255813953
Huntington River,EPA HEX 23.02 VT,VT,20 random toss 4m2 area,8/1/2002,2.257142857,2,2.5,164,40,0.18902439,7,0.432926829,14,0.347560976,15,0.018292683,3,0,0,21.95121951,4,19.51219512,5,15.24390244,8,0.006097561,0,0.012195122,17,0.425,56.70731707,21,0.525,0.62195122,0.018292683,3.275
Indian River,EPA HEX 24.01 NH,NH,20 random toss 4m2 area,8/12/2001,4.428571429,3,5.5,207,37,0.014492754,3,0.222222222,10,0.68115942,19,0.057971014,4,0,0,3.8647343,5,0.483091787,1,2.898550725,4,0.004830918,0,0.019323671,10,0.27027027,7.246376812,13,0.351351351,0.236714976,0.057971014,3.567567568
Indian Stream,NH HEX 2.05,NH,20 random toss 4m2 area,7/23/2003,3.9,3,4.8,301,59,0.053156146,5,0.186046512,13,0.697674419,29,0.046511628,11,0,0,12.95681063,8,1.661129568,2,8.305647841,7,0.026578073,0,0.019933555,17,0.288135593,22.92358804,18,0.305084746,0.239202658,0.046511628,3.728813559
Jellison Meadow Brook,EPA HEX 21.01 ME,ME,20 random toss 4m2 area,9/17/2002,3.385714286,2.8,4.2,246,51,0.06504065,6,0.300813008,13,0.528455285,22,0.089430894,8,0,0,18.69918699,7,1.62601626,2,19.51219512,12,0.036585366,0,0.032520325,21,0.411764706,39.83739837,19,0.37254902,0.365853659,0.089430894,3.509803922
Joe's Brook,VT HEX 8.03 (2005),VT,20 random toss 4m2 area,8/19/2003,2,2,2,206,44,0.053398058,5,0.451456311,17,0.388349515,17,0.077669903,4,0,0,24.27184466,6,3.883495146,3,15.04854369,6,0.072815534,0,0.014563107,15,0.340909091,43.2038835,22,0.5,0.504854369,0.077669903,3.386363636
Johns River,VT HEX 14.03 (2004),VT,20 random toss 4m2 area,8/19/2003,5,5,5,194,42,0.010309278,2,0.097938144,5,0.628865979,20,0.221649485,12,0,0,0,0,0,0,5.154639175,6,0.015463918,0.005154639,0.216494845,6,0.142857143,5.154639175,7,0.166666667,0.108247423,0.221649485,3.785714286
Johnson Brook,NH HEX 23.01,NH,20 random toss 4m2 area,7/30/2002,3.1,2,3.8,248,38,0.056451613,6,0.637096774,17,0.294354839,12,0.008064516,2,0,0,7.661290323,7,1.612903226,3,8.064516129,8,0.008064516,0,0.012096774,18,0.473684211,17.33870968,23,0.605263158,0.693548387,0.008064516,3.184210526
Katahdin Stream,ME HEX 22.05 (A),ME,20 random toss 4m2 area,7/29/2003,2,2,2,228,42,0.057017544,6,0.521929825,13,0.377192982,17,0.01754386,4,0,0,5.701754386,3,1.754385965,4,5.701754386,7,0.00877193,0,0.162280702,14,0.333333333,13.15789474,19,0.452380952,0.578947368,0.01754386,3.30952381
Kenduskeag River,EPA HEX 13.03 ME (A),ME,20 random toss 4m2 area,9/16/2002,4.166666667,3.2,5.5,261,44,0.022988506,4,0.026819923,3,0.739463602,29,0.164750958,5,0,0,26.43678161,5,0,0,8.812260536,5,0.026819923,0,0.08045977,10,0.227272727,35.24904215,7,0.159090909,0.049808429,0.164750958,3.590909091
Kennebunk River,EPA HEX 31.02 ME,ME,20 random toss 4m2 area,8/5/2001,4.216666667,3.8,4.8,201,45,0.019900498,1,0.084577114,7,0.666666667,28,0.099502488,5,0,0,7.960199005,3,0,0,8.955223881,6,0.034825871,0.029850746,0.104477612,9,0.2,16.91542289,8,0.177777778,0.104477612,0.099502488,3.555555556
Kent Pond Outlet,VT HEX 4.01 (RD),VT,20 random toss 4m2 area,7/30/2002,4.866666667,4.8,5,171,32,0.01754386,2,0.403508772,8,0.421052632,16,0.14619883,6,0,0,1.169590643,1,0,0,10.52631579,4,0.093567251,0.011695906,0.081871345,5,0.15625,11.69590643,10,0.3125,0.421052632,0.14619883,3.8125
Kilburn Brook,VT HEX 15.02,VT,20 random toss 4m2 area,8/7/2003,3,3,3,223,51,0.031390135,6,0.381165919,12,0.502242152,24,0.058295964,7,0,0,9.417040359,4,1.793721973,3,20.1793722,10,0.035874439,0,0.067264574,17,0.333333333,31.39013453,18,0.352941176,0.412556054,0.058295964,3.509803922
Kimball Brook,ME HEX 16.04,ME,20 random toss 4m2 area,7/28/2003,3,3,3,228,51,0.083333333,4,0.245614035,10,0.605263158,28,0.043859649,8,0,0,7.894736842,7,3.947368421,2,7.456140351,5,0.01754386,0,0.144736842,14,0.274509804,19.29824561,14,0.274509804,0.328947368,0.043859649,3.725490196
Lamoille River,VT HEX 12.01,VT,20 random toss 4m2 area,7/17/2002,3,3,3,205,42,0.136585366,7,0.204878049,11,0.585365854,18,0.073170732,6,0,0,45.85365854,8,1.951219512,2,8.292682927,8,0.029268293,0,0.063414634,18,0.428571429,56.09756098,18,0.428571429,0.341463415,0.073170732,3.547619048
Langdon Brook,NH HEX 20.01,NH,20 random toss 4m2 area,7/29/2003,2,2,2,213,41,0.136150235,8,0.525821596,15,0.309859155,17,0.028169014,1,0,0,13.61502347,7,1.408450704,3,16.90140845,7,0.004694836,0,0.018779343,17,0.414634146,31.92488263,23,0.56097561,0.661971831,0.028169014,3.268292683
Latham Brook,RSD52,RI,20 random toss 4m2 area,9/8/2000,4,4,4,259,39,0.081081081,1,0.285714286,13,0.55984556,19,0.023166023,4,0,0,9.266409266,4,1.158301158,1,2.316602317,4,0,0.003861004,0.073359073,9,0.230769231,12.74131274,14,0.358974359,0.366795367,0.023166023,3.512820513
